id;decade;gender;name;quote;description;img_path;wiki;info;source
0;1910;male;Roscoe Arbuckle;A tremendous man skipped up the steps as lightly as Fred Astaire. 'Name's Arbuckle,' he said, 'Roscoe Arbuckle. Call me Fatty! I'm a funnyman and an acrobat.';an American silent film actor, comedian, director, and screenwriter. He mentored Charlie Chaplin and discovered Buster Keaton and Bob Hope. Arbuckle was one of the most popular silent stars of the 1910s, and soon became one of the highest paid actors in Hollywood.;app/static/db/men/1910s/00_Arbuckle.jpg;https://en.wikipedia.org/wiki/Roscoe_Arbuckle;http://www.imdb.com/name/nm0000779/;imdb
1;1910;male;Richard Barthelmess;His face was the most beautiful of any man who had ever been before the camera.;an American film actor, principally of the Hollywood silent era. He starred opposite Lillian Gish in D.W. Griffith's Broken Blossoms (1919) and Way Down East (1920) and was among the founders of the Academy of Motion Picture Arts and Sciences in 1927.;app/static/db/men/1910s/01_Barthelmess.jpg;https://en.wikipedia.org/wiki/Richard_Barthelmess;http://www.imdb.com/name/nm0001932/;imdb
2;1910;male;Irving Berlin;Irving Berlin has no place in American music, he is American music.;an American composer and lyricist, widely considered one of the greatest songwriters in American history. His music forms a great part of the Great American Songbook. He wrote hundreds of songs, many becoming major hits, which made him a legend before he turned thirty.;app/static/db/men/1910s/02_Berlin.jpg;https://en.wikipedia.org/wiki/Irving_Berlin;http://www.imdb.com/name/nm0000927/;imdb
3;1910;male;Eubie Blake;Eubie will always remain among the finest popular composers and songwriters of his era.;an American composer, lyricist, and pianist of ragtime, jazz, and popular music. In 1921, he and his long-time collaborator Noble Sissle wrote Shuffle Along, one of the first Broadway musicals to be written and directed by African Americans.;app/static/db/men/1910s/03_Blake.jpg;https://en.wikipedia.org/wiki/Eubie_Blake;https://www.biography.com/people/eubie-blake-12816701;biography.com
4;1910;male;Enrico Caruso;When you speak of tenors, you have to divide them into two groups. Caruso in the first group. All the others are in the second.;an Italian operatic tenor. He sang to great acclaim at the major opera houses of Europe and the Americas, appearing in a wide variety of roles from the Italian and French repertoires that ranged from the lyric to the dramatic.;app/static/db/men/1910s/04_Caruso.jpg;https://en.wikipedia.org/wiki/Enrico_Caruso;http://www.imdb.com/name/nm0142297/bio;imdb
5;1910;male;Charlie Chaplin;The only person to have gone down into cinematic history without any shadow of a doubt. The films he left behind can never grow old.;an English comic actor, filmmaker, and composer who rose to fame in the era of silent film. Chaplin became a worldwide icon through his screen persona ‘the Tramp’ and is considered one of the most important figures in the history of the film industry.;app/static/db/men/1910s/05_Chaplin.jpg;https://en.wikipedia.org/wiki/Charlie_Chaplin;http://www.imdb.com/name/nm0000122/;imdb
6;1910;male;Lon Chaney;He was someone who acted out our psyches. He somehow got into the shadows inside our bodies, he was able to nail down some of our secret fears and put them on-screen.;an American stage and film actor, make-up artist, director and screenwriter. He is regarded as one of the most versatile and powerful actors of early cinema, renowned for his characterizations of tortured, grotesque characters, and his groundbreaking artistry with makeup.;app/static/db/men/1910s/06_Chaney.jpg;https://en.wikipedia.org/wiki/Lon_Chaney;http://www.imdb.com/name/nm0151606/;imdb
7;1910;male;Cecil B. DeMille;There has appeared only one Cecil B. DeMille. He is one of the most extraordinarily able showmen of modern times.;an American filmmaker. He is acknowledged as a founding father of the cinema of the United States and the most commercially successful producer-director in film history. His films were distinguished by their epic scale and by his cinematic showmanship.;app/static/db/men/1910s/07_DeMille.jpg;https://en.wikipedia.org/wiki/Cecil_B._DeMille;http://www.imdb.com/name/nm0001124/;imdb
8;1910;male;Douglas Fairbanks;It was all fun for him. He wasn't an actor at all. To me, he was an effect, he was a wonderful effect.;an American actor, screenwriter, director, and producer. He was best known for his swashbuckling roles in silent films including The Thief of Bagdad, Robin Hood, and The Mark of Zorro but spent the early part of his career making comedies.;app/static/db/men/1910s/08_Fairbanks.jpg;https://en.wikipedia.org/wiki/Douglas_Fairbanks;http://www.imdb.com/name/nm0001196/;imdb
9;1910;male;David Wark Griffith;I have never really hated Hollywood except for its treatment of D. W. Griffith. No town, no industry, no profession, no art form owes so much to a single man.;an American director, writer, and producer who pioneered modern filmmaking techniques. Griffith is best remembered for The Birth of a Nation (1915) and Intolerance (1916). Griffith is widely considered among the most important figures in the history of cinema.;app/static/db/men/1910s/09_Griffith.jpg;https://en.wikipedia.org/wiki/D._W._Griffith;http://www.imdb.com/name/nm0000428/;imdb
10;1910;male;Harry Houdini;Several reporters tried to capture the charming effect, describing him as 'pleasant-faced', 'the young Hungarian magician with the pleasant smile and easy confidence'.;an Austro-Hungarian-born American stage magician and stunt performer, noted for his sensational escape acts. Houdini made several movies, but quit acting when it failed to bring in money. He was also a keen aviator, and aimed to become the first man to fly a plane in Australia.;app/static/db/men/1910s/10_Houdini.jpg;https://en.wikipedia.org/wiki/Harry_Houdini;https://www.thegreatharryhoudini.com/;fansite
11;1910;male;Al Jolson;Zelda Fitzgerald... leaned forward and said to me, telling me her great secret, 'Ernest, don't you think Al Jolson is greater than Jesus?';an American singer, film actor, and comedian. At the peak of his career, he was dubbed ‘The World's Greatest Entertainer.’ His performing style was brash and extroverted, and he popularized a large number of songs that benefited from his ‘shamelessly sentimental approach.’;app/static/db/men/1910s/11_Jolson.jpg;https://en.wikipedia.org/wiki/Al_Jolson;http://www.imdb.com/name/nm0427231/;imdb
12;1910;male;Buster Keaton;Buster plainly is a man inclined towards a belief in nothing but mathematics and absurdity. Look at his face, as beautiful but as inhuman as a butterfly, and you see that utter failure to identify sentiment.;an American actor, comedian, film director, producer, screenwriter, and stunt performer. He was best known for his silent films, in which his trademark was physical comedy with a consistently stoic, deadpan expression, earning him the nickname ‘The Great Stone Face.’;app/static/db/men/1910s/12_Keaton.jpg;https://en.wikipedia.org/wiki/Buster_Keaton;http://www.imdb.com/name/nm0000036/;imdb
13;1910;male;Jerome Kern;The first time Jerry played that melody for me, I went out and started to cry. The release absolutely killed me. I couldn't stop. It was so beautiful.;an American composer of musical theatre and popular music. One of the most important American theatre composers of the early 20th century ( ‘Ol' Man River’, ‘The Way You Look Tonight’, ‘Long Ago (and Far Away)’ , ‘Who?’).;app/static/db/men/1910s/13_Kern.jpg;https://en.wikipedia.org/wiki/Jerome_Kern;http://www.imdb.com/name/nm0006153/;imdb
14;1910;male;Harold Lloyd;Laughter is the universal language. It establishes a common identity among people, regardless of other differences. It is the sweetest sound in the whole world.;an American actor, comedian, director, producer, screenwriter, and stunt performer who is best known for his silent comedy films. Lloyd ranks alongside Charlie Chaplin and Buster Keaton as one of the most popular and influential film comedians of the silent film era.;app/static/db/men/1910s/14_Lloyd.jpg;https://en.wikipedia.org/wiki/Harold_Lloyd;http://www.imdb.com/name/nm0516001/;imdb
15;1910;male;Oscar Micheaux;The most successful African-American filmmaker of the first half of the 20th century.;an African American author, film director and independent producer. Micheaux is regarded as the first major African-American feature filmmaker and has been described as ‘the most successful African-American filmmaker of the first half of the 20th century’. ;app/static/db/men/1910s/15_Micheaux.jpg;https://en.wikipedia.org/wiki/Oscar_Micheaux;http://www.imdb.com/name/nm0584778/;imdb
16;1910;male;Jack Pickford;All American boy next door.;"a Canadian-born American actor, film director and producer. He was the younger brother of actresses Mary and Lottie Pickford. Jack also appeared in numerous films as the ""All American boy next door"" and was a fairly popular performer. ";app/static/db/men/1910s/16_Pickford.jpg;https://en.wikipedia.org/wiki/Jack_Pickford;http://www.imdb.com/name/nm0681927/;imdb
17;1910;male;Mack Sennett;I think Sennett is the greatest pick of talent there's ever been in the motion picture business.;a Canadian-born American director and actor and was known as an innovator of slapstick comedy in film. During his lifetime he was known at times as the ‘King of Comedy’. ;app/static/db/men/1910s/17_Sennett.jpg;https://en.wikipedia.org/wiki/Mack_Sennett;http://www.imdb.com/name/nm0784407/;imdb
18;1910;male;Bert Williams;The funniest man I ever saw - and the saddest man I ever knew.;a Bahamian American entertainer, one of the pre-eminent entertainers of the Vaudeville era and one of the most popular comedians for all audiences of his time. He was by far the best-selling black recording artist before 1920.;app/static/db/men/1910s/18_Williams.jpg;https://en.wikipedia.org/wiki/Bert_Williams;http://www.notablebiographies.com/supp/Supplement-Sp-Z/Williams-Bert.html;notablebiographies.com
19;1910;male;P.G. Wodehouse;It is now abundantly clear that Wodehouse is one of the funniest and most productive men who ever wrote in English.;an English author and one of the most widely read humorists of the 20th century. During and after the World War I, together with Guy Bolton and Jerome Kern, he wrote a series of Broadway musical comedies that were an important part of the development of the American musical.;app/static/db/men/1910s/19_Wodehouse.jpg;https://en.wikipedia.org/wiki/P._G._Wodehouse;https://www.britannica.com/biography/P-G-Wodehouse;britannica
